16:34;temperature; -1316:34;wind_speed; 2916:34;pressure; 73116:36;temperature; -1416:36;wind_speed; 916:36;pressure; 73016:38;temperature; -416:38;wind_speed; 016:38;pressure; 74016:38;temperature; -14
16:38;wind_speed; 10
16:38;pressure; 723
16:40;temperature; -2
16:40;wind_speed; 25
16:40;pressure; 734
16:48;temperature; -10
16:48;wind_speed; 2
16:48;pressure; 727
16:48;temperature; -7
16:48;wind_speed; 26
16:48;pressure; 747
16:48;temperature; -18
16:48;wind_speed; 20
16:48;pressure; 721
16:48;temperature; -14
16:48;wind_speed; 13
16:48;pressure; 743
